text,tag1,tag2,tag3,tag4,tag5,token_usage
" Meanwhile, Fathom and his associate did not fail to take all proper measures for his defence; they retained a powerful bar of counsel, and the solicitor was supplied with one hundred pounds after another, to answer the expense of secret service; still assuring his clients that everything was in an excellent train, and that his adversary would gain nothing but shame and confusion of face. Nevertheless, there was a necessity for postponing the trial, on account of a material evidence, who, though he wavered, was not yet quite brought over; and the attorney found means to put off the decision from term to term, until there was no quibble left for further delay. While this suit was depending, our hero continued to move in his usual sphere; nor did the report of his situation at all operate to his disadvantage in the polite world; on the contrary, it added a fresh plume to his character, in the eyes of all those who were not before acquainted with the triumphs of his gallantry. Notwithstanding this countenance of his friends, he himself considered the affair in a very serious light; and perceiving that, at any rate, he must be a considerable loser, he resolved to double his assiduity in trade, that he might be the more able to afford the extraordinary expense to which he was subjected. ",confident,anxious,frustrated,determined,financial strain,0.00092
"Fathom found his fears realised in this interrogation, to which he answered in a tone of horror and dismay, “What gentleman? I suppose I am robbed. Speak, and keep me no longer in suspense.” “Robbed!” cried the attorney, “the Lord forbid! I hope you can depend upon the person you empowered to receive your jewels and cash? I must own his proceedings are a little extraordinary; for after he had rummaged your scrutoire, from which, in presence of me and your servant, he took one hundred and fifty guineas, a parcel of diamond rings and buckles, according to this here inventory, which I wrote with my own hand, and East India bonds to the tune of five hundred more, we adjourned to Garraway’s, where he left me alone, under pretence of going to a broker of his acquaintance who lived in the neighbourhood, while the valet, as I imagined, waited for us in the alley. Well, sir, he stayed so long, that I began to be uneasy, and at length resolved to send the servant in quest of him, but when I went out for that purpose, deuce a servant was to be found; though I in person inquired for him at every alehouse within half a mile of the place. I then despatched no less than five ticket porters upon the scent after them, and I myself, by a direction from the bar-keeper, went to Signior Ratchcali’s lodgings, where, as they told me, he had not been seen since nine o’clock in the morning. Upon this intimation, I came directly hither, to give you timely notice, that you may without delay take measures for your own security.",fearful,shocked,confused,worried,urgency,0.00092
" “The next is Sir Mungo Barebones, the representative of a very ancient family in the north; his affairs are very much deranged, but he is a gentleman of great probity and learning, and at present engaged in a very grand scheme, which, if he can bring it to bear, will render him famous to all posterity; no less than the conversion of the Jews and the Gentiles. The project, I own, looks chimerical to one who has not conversed with the author; but, in my opinion, he has clearly demonstrated, from an anagrammatical analysis of a certain Hebrew word, that his present Majesty, whom God preserve, is the person pointed at in Scripture as the temporal Messiah of the Jews; and, if he could once raise by subscription such a trifling sum as twelve hundred thousand pounds, I make no doubt but he would accomplish his aim, vast and romantic as it seems to be.  “Besides these, we have another messmate, who is a French chevalier, an odd sort of a man, a kind of Lazarillo de Tormes, a caricatura; he wears a long beard, pretends to be a great poet, and makes a d—-ed fracas with his verses. The king has been obliged to exert his authority over him more than once, by ordering him into close confinement, for which he was so rash as to send his majesty a challenge; but he afterwards made his submission, and was again taken into favour. The truth is, I believe his brain is a little disordered, and, he being a stranger, we overlook his extravagancies. ",optimism,skepticism,curiosity,excitement,doubt,0.001
"Fathom, who had no inclination to offend this choleric Frenchman, assured him that he might depend upon his friendship; and, in the meantime, prevailed upon him to accept of a small supply, in consequence of which he procured a pound of sausages, and joined the rest of the company without delay; making a very suitable addition to such an assemblage of rarities. Though his age did not exceed thirty years, his beard, which was of a brindled hue, flowed down, like Aaron’s, to his middle. Upon his legs he wore red stockings rolled up over the joint of the knee, his breeches were of blue drab, with vellum button-holes, and garters of gold lace, his waistcoat of scarlet, his coat of rusty black cloth, his hair, twisted into a ramilie, hung down to his rump, of the colour of jet, and his hat was adorned with a white feather. This original had formed many ingenious schemes to increase the glory and grandeur of France, but was discouraged by Cardinal Fleury, who, in all appearance, jealous of his great talents, not only rejected his projects, but even sent him to prison, on pretence of being offended at his impertinence. Perceiving that, like the prophet, he had no honour in his own country, he no sooner obtained his release, than he retired to England, where he was prompted by his philanthropy to propose an expedient to our ministry, which would have saved a vast effusion of blood and treasure; this was an agreement between the Queen of Hungary and the late Emperor, to decide their pretensions by a single combat; in which case he offered himself as the Bavarian champion; but in this endeavour he also proved unsuccessful.",generosity,amusement,eccentricity,acceptance,pity,0.001
" Ferdinand, who, from this salutation, concluded himself still in possession of Renaldo’s good opinion, was not deficient in expressions of tenderness and joy; he returned his embraces with equal ardour, the tears trickled down his cheeks, and that perturbation which proceeded from conscious perfidy and fear, was mistaken by the unsuspecting Hungarian for the sheer effects of love, gratitude, and surprise. These first transports having subsided, they adjourned to the lodgings of Fathom, who soon recollected his spirits and invention so well as to amuse the other with a feigned tale of his having been taken by the French, sent prisoner into Champagne, from whence he had written many letters to Count Melvil and his son, of whom he could hear no tidings; of his having contracted an intimacy with a young nobleman of France, who died in the flower of his age, after having, in token of his friendship, bequeathed to him a considerable legacy; by this he had been enabled to visit the land of his forefathers in the character of a gentleman, which he had supported with some figure, until he was betrayed into a misfortune that exhausted his funds, and drove him to the spot where he was now found. And he solemnly declared, that, far from forgetting the obligation he owed to Count Melvil, or renouncing the friendship of Renaldo, he had actually resolved to set out for Germany on his return to the house of his patron in the beginning of the week posterior to that in which he had been arrested. ",joy,gratitude,surprise,fear,admiration,0.0009
" Stimulated as he was by the beauty of the incomparable Monimia, he foresaw that the conquest of her heart would cost him a thousand times more labour and address than all the victories he had ever achieved; for, besides her superior understanding, her sentiments of honour, virtue, gratitude, religion, and pride of birth, her heart was already engaged by the tenderest ties of love and obligation, to a man whose person and acquired accomplishments at least equalled his own; and whose connexion with him was of such a nature as raised an almost insurmountable bar to his design; because, with what face could he commence rival to the person whose family had raised him from want and servility, and whose own generosity had rescued him from the miseries of a dreary gaol?  Notwithstanding these reflections, he would not lay aside an idea which so agreeably flattered his imagination. He, like every other projector in the same circumstances, was so partial to his own qualifications, as to think the lady would soon perceive a difference between him and Renaldo that could not fail to turn to his advantage in her opinion. He depended a good deal on the levity and inconstancy of the sex; and did not doubt that, in the course of their acquaintance, he should profit by that languor which often creeps upon and flattens the intercourse of lovers cloyed with the sight and conversation of each other. ",desire,inadequacy,doubt,hope,arrogance,0.0009
"This letter, though sincerely meant, and written in a very serious mood, the gentleman considered as an ungrateful piece of irony, and in that opinion complained to several persons of the Count’s acquaintance, who unanimously exclaimed against him as a sordid, unthankful, and profligate knave, that abused and reviled those very people who had generously befriended him, whenever they found it inconvenient to nourish his extravagance with further supplies. Notwithstanding these accumulated oppressions, he still persevered with fortitude in his endeavours to disentangle himself from this maze of misery. To these he was encouraged by a letter which about this time he received from his sister, importing, that she had good reason to believe the real will of her father had been suppressed for certain sinister views; and desiring him to hasten his departure for Hungary, where he would still find some friends who were both able and willing to support his cause. He had some trinkets left; the pawnbroker’s shop was still open; and hitherto he made shift to conceal from Monimia the extent of his affliction. The money-broker whom he employed, after having amused him with a variety of schemes, which served no other purpose than that of protracting his own job, at length undertook to make him acquainted with a set of monied men who had been very venturous in lending sums upon personal security; he was therefore introduced to their club in the most favourable manner, after the broker had endeavoured to prepossess them separately, with magnificent ideas of his family and fortune.",resentment,disgust,betrayal,hope,determination,0.0009
" Both these methods were practised by the wily Ferdinand, according to the predominant passion of Monimia. When her indignation prevailed, he expatiated upon his love and sincere regard for Renaldo, which, he said, had grown up from the cradle, to such a degree of fervour, that he would willingly part with life for his advantage. He shed tears for his apostasy; but every drop made an indelible stain upon his character; and, in the bitterness of his grief, swore, notwithstanding his fondness for Renaldo, which had become a part of his constitution, that the young Hungarian deserved the most infamous destiny for having injured such perfection. At other times, when he found her melted into silent sorrow, he affected to excuse the conduct of his friend. He informed her, that the young gentleman’s temper had been uneven from his infancy; that frailty was natural to man; that he might in time be reclaimed by self-conviction; he even hinted, that she might have probably ascribed to inconstancy, what was really the effect of some chagrin which he industriously concealed from his participation. But, when he found her disposed to listen to this last suggestion, he destroyed the force of it, by recollecting the circumstances of his nocturnal rambles, which, he owned, would admit of no favourable construction. ",manipulation,anger,confusion,doubt,deception,0.0009
"The poor afflicted orphan, worn to a shadow with self-consuming anguish, eager to find some lowly retreat, where she could breath out her soul in peace, and terrified at the frantic behaviour of Renaldo, communicated to Fathom her desire of removing, and begged that he would take a small picture of her father, decorated with diamonds, and convert them into money, for the expense of her subsistence. This was the last pledge of her family, which she had received from her mother, who had preserved it in the midst of numberless distresses, and no other species of misery but that which she groaned under could have prevailed upon the daughter to part with it; but, exclusive of other motives, the very image itself, by recalling to her mind the honours of her name, upbraided her with living in dependence upon a man who had treated her with such indignity and ingratitude; besides, she flattered herself with the hope that she should not long survive the loss of this testimonial. Our adventurer, with many professions of sorrow and mortification at his own want of capacity to prevent such an alienation, undertook to dispose of it to the best advantage, and to provide her with a cheap and retired apartment, to which he would conduct her in safety, though at the hazard of his life.",anguish,desperation,sorrow,betrayal,hopelessness,0.00084
" “Gracious powers!” exclaimed Renaldo, starting from the couch, “am I under the delusion of a dream; or are these things really so, as my friend has represented them? Such a total and sudden degeneracy is amazing! is monstrous and unnatural!”  “Such, my dear Count,” replied our hero, “is the caprice of a female heart, fickle as the wind, uncertain as a calm at sea, fixed to no principle, but swayed by every fantastic gust of passion, or of whim. Congratulate yourself, therefore, my friend, upon your happy deliverance from such a domestic plague—upon the voluntary exile of a traitor from your bosom.—Recollect the dictates of your duty, your discretion, and your glory, and think upon the honours and elevated enjoyment for which you are certainly ordained. To-night let us over a cheerful bottle anticipate your success; and to-morrow I will accompany you to the house of an usurer, who, I am informed, fears no risk, provided twenty per cent be given, and the borrower’s life insured.”  In this manner did the artful incendiary work upon the passions of the credulous unsuspecting Hungarian, who pressed him to his breast with the most cordial expressions of friendship, calling him his guardian, his saviour, his second father, and gave himself up wholly to his advice. ",shock,disgust,relief,manipulation,devotion,0.00084
" He did not, however, fail to be punctual to the hour of his appointment, when the Jew told him, there would be no occasion for visiting the ambassador, because Renaldo had been, the preceding day, recognised by one of the clerks who had been employed as a purveyor in the Imperial army; and who, knowing his family, confirmed everything he had alleged. “After breakfast,” continued this benevolent Israelite, “I will give you an order upon my banker for five hundred pounds, that you may be enabled to appear at Vienna as the son and representative of Count Melvil; and you shall also be furnished with a letter of recommendation to a person of some influence at that court, whose friendship and countenance may be of some service to your suit; for I am now heartily engaged in your interest, in consequence of the fair and unblemished character which I find you have hitherto maintained.”  The reader must appeal to his own heart, to acquire a just idea of Renaldo’s feelings, when every tittle of these promises was fulfilled, and the merchant refused to take one farthing by way of premium, contenting himself with the slender security of a personal bond. He was, in truth, overwhelmed with the obligation, and certainly disposed to believe that his benefactor was something more than human. As for Fathom, his sentiments took a different turn; and he scrupled not to impute all this kindness to some deep-laid interested scheme, the scope of which he could not at present comprehend. ",gratitude,overwhelmed,suspicion,admiration,confusion,0.00094
" Monimia listened to all these arguments with great patience and affability, though she at once dived into the source from which all such insinuations flowed. She joined in the commendations of Fathom, and owned herself a particular instance of that benevolence which the old lady had so justly extolled; but, once for all, to prevent the supplication which Madam la Mer was about to make, she solemnly protested that her heart was altogether shut against any other earthly engagement, and that her thoughts were altogether employed upon her eternal salvation.  The assiduous landlady, perceiving the steadiness of her disposition, thought proper to alter her method of proceeding, and, for the present, suspended that theme by which she found her fair lodger disobliged. Resolved to reconcile Monimia to life, before she would again recommend Ferdinand to her love, she endeavoured to amuse her imagination, by recounting the occasional incidents of the day, hoping gradually to decoy her attention to those sublunary objects from which it had been industriously weaned. She seasoned her conversation with agreeable sallies; enlarged upon the different scenes of pleasure and diversion appertaining to this great metropolis; practised upon her palate with the delicacies of eating; endeavoured to shake her temperance with repeated proffers and recommendations of certain cordials and restoratives, which she alleged were necessary for the recovery of her health; and pressed her to make little excursions into the fields that skirt the town, for the benefit of air and exercise. ",patience,benevolence,determination,amusement,persuasion,0.00094
" So saying, she conducted him into the chamber, where he beheld the hapless virgin stretched upon a sick-bed, panting under the violence of a distemper too mighty for her weakly frame, her hair dishevelled, and discomposure in her looks; all the roses of her youth were faded, yet all the graces of her beauty were not fled. She retained that sweetness and symmetry, which death itself could not destroy; and though her discourse was incoherent, her voice was still musical, resembling those feathered songsters who warble their native wood-notes wild.  Fathom, as upon all other occasions, so on this, did behave like an inimitable actor; he ran to the bedside, with all the trepidation of a distracted lover; he fell upon his knees, and, while the tears rolled down his cheeks, imprinted a thousand kisses on the soft hand of Monimia, who regarding him with a lack-lustre and undistinguishing eye, “Alas! Renaldo,” said she, “we were born to be unhappy.” “Would to Heaven,” cried Ferdinand, in a transport of grief, “the wretch Renaldo had never been born! that is the villain who seduced the affection of this unfortunate woman. I admitted the traitor into my friendship and confidence, relieved him in his necessities; and, like the ungrateful viper, he hath stung the very bosom that cherished him in his distress.” Then he proceeded to inform Madam Clement how he had delivered that same Renaldo from prison, maintained him afterwards at a great expense, and at length furnished him with a sum of money and proper credentials to support his interest at the Court of Vienna. ",compassion,sadness,beauty,hope,melancholy,0.00098
" The apothecary was equally struck with his polite address, and pleased with his agreeable discourse. He consoled him for the misfortunes of his family, by assuring him, that in England nothing could be more honourable, or indeed profitable, than the character of a physician, provided he could once wriggle himself into practice; and insinuated, that, although he was restricted by certain engagements with other persons of the faculty, he should be glad of an opportunity to show his regard for Doctor Fathom. This was a very effectual method which our hero took to intimate his new character to the public. By the industry and communicative disposition of the apothecary, it was circulated in half a day through every family in the place; and, next morning, when Ferdinand appeared, the company forthwith assembled in separate groups, and from each knot he heard his name reverberated in a whisper.  Having thus announced himself to all whom it might concern, and allowed the ladies two days to discuss the merit of his transfiguration, together with the novelty of the case, he ventured to salute, at a distance, a lady and her daughter, who had been his patients at the hot well; and, although they honoured his bow with the return of a slight curtsey, they gave him not the least encouragement to make a nearer approach. Notwithstanding this rebuff, he concluded, that, should the health of either come in question, they would renew their application to his skill, and what was refused by their pride would be granted by their apprehension. Here, however, he happened to be mistaken in his conjecture. ",confidence,excitement,curiosity,disappointment,determination,0.00098
" These fatal tidings were no sooner imparted to the abandoned Phillis, than she was seized with an hysteric fit; and, what rendered the accident more unfortunate, her physician had been called to the country, and was not expected at Tunbridge till next day. The apothecary was immediately summoned; and, being either puzzled by the symptoms, or afraid of encroaching upon the province of his superiors, advised the old lady to send for Doctor Fathom without delay. She had no other objection to this expedient, but the enmity which she knew subsisted between the two leeches; yet, hearing that her own doctor would not consult with Fathom upon his return but, perhaps renounce the patient, by which means her daughter’s health might be endangered, she would not solicit our hero’s assistance, until the young lady had remained seven hours speechless and insensible; when, her fear prevailing over every other consideration, she implored the advice of our adventurer, who, having made the necessary interrogations, and felt the patient’s pulse, which was regular and distinct, found reason to conclude that the fit would not last much longer, and, after having observed that she was in a very dangerous way, prescribed some medicines for external application; and, to enhance their opinion of his diligence and humanity, resolved to stay in the room and observe their effect. ",distress,anxiety,desperation,helplessness,relief,0.00082
" It would be superfluous to observe, that these tidings operated like an admirable specific on the spirits of the young lady, who, while she affected to pity the squire, was so much overjoyed at his disappointment, that her eyes began to sparkle with uncommon vivacity, and in less than two hours after the last of those terrible attacks, she was restored to a better state of health than she had enjoyed for many weeks. Fathom was not forgot amidst the rejoicings of the family. Besides an handsome gratuity for the effects of his extraordinary skill, the old lady favoured him with a general invitation to her house, and the daughter not only considered him as the restorer of her health, and angel of her good fortune, but also began to discover an uncommon relish for his conversation; so that he was struck with the prospect of succeeding Squire Stub in her affection. A conquest which, if sanctioned by the approbation of the mother, would console him for all the disappointments he had sustained; for Miss Biddy was entitled to a fortune of ten thousand pounds, provided she should marry with the consent of her parent, who was the sole executrix of the father’s will. ",glee,gratitude,anticipation,hope,ambition,0.00082
"The film was instantly removed from Fathom’s eyes by this declaration, which she uttered with such a significancy of look, as thrilled to his soul with joyful presage, while he replied, it would, indeed, be a difficult task to find a man who merited such happiness and honour; but, surely, some there were, who would task their faculties to the uttermost, in manifesting their gratitude, and desire of rendering themselves worthy of such distinction. Though this answer was pronounced in such a manner as gave her to understand he had taken the hint, she would not cheapen her condescension so much as to explain herself further at that juncture, and he was very well contented to woo her on her own terms; accordingly he began to season his behaviour with a spice of gallantry, when he had opportunities of being particular with this new inamorata, and, in proportion to the returns she made, he gradually detached himself from Miss Biddy, by intermitting, and, at last, discontinuing those ardent expressions of love and admiration, which he had made shift to convey in private looks and stolen whispers, during the rancorous inspection of her mother. Such alteration could not long escape the jealous eyes of the young lady, no more than the cause of this alienation, which, in a moment, converted all her love into irreconcilable hate, and filled her whole soul with the most eager desire of vengeance. For she now not only considered him as a mercenary wretch, who had slighted her attractions for the sordid gratifications of avarice, but also as an interloper, who wanted to intercept her fortune, in the odious character of a father-in-law.",anticipation,curiosity,satisfaction,betrayal,vengeful,0.00096
"Misfortunes seldom come single; upon the back of this hue and cry he unluckily prescribed phlebotomy to a gentleman of some rank, who chanced to expire during the operation, and quarrelled with his landlord the apothecary, who charged him with having forgot the good offices he had done him in the beginning of his career, and desired he would provide himself with another lodging. All these mishaps, treading upon the heels of one another, had a very mortifying effect upon his practice. At every tea-table his name was occasionally put to the torture, with that of the vile creature whom he had seduced, though it was generally taken for granted by all those female casuists, that she must have made the first advances, for it could not be supposed that any man would take much trouble in laying schemes for the ruin of a person whose attractions were so slender, especially considering the ill state of her health, a circumstance that seldom adds to a woman’s beauty or good-humour; besides, she was always a pert minx, that affected singularity, and a masculine manner of speaking, and many of them had foreseen that she would, some time or other, bring herself into such a premunire. At all gossipings, where the apothecary or his wife assisted, Fathom’s pride, ingratitude, and malpractice were canvassed; in all clubs of married men he was mentioned with marks of abhorrence and detestation, and every medical coffee-house rung with his reproach.",unlucky,mortification,humiliation,disgust,resentment,0.00096
" It was not long before he perceived that his landlady’s character had not been misrepresented. He fed her distemper with divers inconsiderable trinkets, such as copper medals, corkscrews, odd buckles, and a paltry seal set in silver, which were, at different times, laid as baits for her infirmity, and always conveyed away with remarkable eagerness, which he and his Dulcinea took pleasure in observing from an unsuspected place. Thus confirmed in his opinion, he, at length, took an opportunity of exposing a metal watch that belonged to his mistress, and saw it seized with great satisfaction, in the absence of his helpmate, who had gone abroad on purpose. According to instruction, she soon returned, and began to raise a terrible clamour about the loss of her watch; upon which she was condoled by her landlady, who seemed to doubt the integrity of the maid, and even proposed that Mrs. Fathom should apply to some justice of the peace for a warrant to search the servant’s trunk. The lady thanked her for the good advice, in compliance with which she had immediate recourse to a magistrate, who granted a search warrant, not against the maid, but the mistress; and she, in a little time, returned with the constable at her back. ",frustration,disbelief,indignation,desperation,distrust,0.00082
" Among the rest, was an Irish officer in the Austrian service, who having eyed Renaldo attentively, “Sir,” said he, rising, “if my eyes and memory do not deceive me, you are the Count de Melvil, with whom I had the honour to serve upon the Rhine during the last war.” The youth, hearing his own name mentioned, lifted up his eyes, and at once recognising the other to be a gentleman who had been a captain in his father’s regiment, ran forwards, and embraced him with great affection.  This was, in divers respects, a fortunate rencontre for young Melvil; as the officer was not only perfectly well acquainted with the situation of the Count’s family, but also resolved, in a few days, to set out for Vienna, whither he promised to accompany Renaldo, as soon as he understood his route lay the same way. Before the day fixed for their departure arrived, this gentleman found means to insinuate himself so far into the confidence of the Count, as to learn the cause of that distress which he had observed in his features at their first meeting; and being a gentleman of uncommon vivacity, as well as sincerely attached to the family of Melvil, to which he had owed his promotion, he exerted all his good-humour and good sense in amusing the fancy, and reasoning down the mortification of the afflicted Hungarian. He in particular endeavoured to wean his attention from the lost Monimia, by engaging it upon his domestic affairs, and upon the wrongs of his mother and sister, who, he gave him to understand, were languishing under the tyranny of his father-in-law. ",joyful,affectionate,hopeful,comforted,grateful,0.00096
"Every circumstance of this transaction was observed by the servants of Count Trebasi, who immediately despatched a messenger to their lord, with an account of what had happened. Alarmed at this information, from which he immediately concluded that the stranger was young Melvil, he forthwith quitted the chase, and returning to the castle by a private postern, ordered his horse to be kept ready saddled, in hope that his son-in-law would repeat the visit to his mother. This precaution would have been to no purpose, had Renaldo followed the advice of Farrel, who represented the danger of returning to a place where the alarm was undoubtedly given by his first appearance; and exhorted him to return to Vienna for the prosecution of his suit, now that he was satisfied of his mother’s being alive. In order to strengthen this admonition, he bade him recollect the signal for withdrawing, which was doubtless the effect of maternal concern, inspired by the knowledge of the Count’s vigilance and vindictive disposition. Notwithstanding these suggestions, Melvil persisted in his resolution of appearing once more below the tower, on the supposition that his mother, in expectation of his return, had prepared a billet for his acceptance, from which he might obtain important intelligence. The Major, seeing him lend a deaf ear to his remonstrances, was contented to attend him in his second expedition, which he pressed him to undertake that same afternoon, as Trebasi had taken care to circulate a report of his having gone to dine at the seat of a nobleman in the neighbourhood.",anxious,fearful,cautious,determined,curious,0.00096
" This inquiry in a moment blew up that scorching flame which had been well-nigh stifled by other necessary avocations. His eyes gleamed, his cheeks glowed and grew pale alternately, and his whole frame underwent an immediate agitation; which being perceived by Mademoiselle, she concluded that some new calamity was annexed to the name of Monimia, and, dreading to rip up a wound which she saw was so ineffectually closed, she for the present suppressed her curiosity and concern, and industriously endeavoured to introduce some less affecting subject of conversation. He saw her aim, approved of her discretion, and, joining her endeavours, expressed his surprise at her having omitted to signify the least remembrance of her old favourite, Fathom, whom he had left in England. He had no sooner pronounced this name, than she suffered some confusion in her turn; from which, however, recollecting herself, “Brother,” said she, “you must endeavour to forget that wretch, who is altogether unworthy of retaining the smallest share of your regard.”  Astonished, and indeed angry, at this expression, which he considered as the effect of malicious misrepresentation, he gently chid her for her credulity in believing the envious aspersion of some person, who repined at the superior virtue of Fathom, whom he affirmed to be an honour to the human species. ",excitement,confusion,curiosity,anger,surprise,0.00088
"Renaldo was pleased with the frankness of this declaration, approved of his demand, and desired him to depend upon his good offices with his sister, whom he sounded that same evening upon the subject, recommending the Major to her favour, as a gentleman well worthy of her choice. Mademoiselle, who had never been exercised in the coquetries of her sex, and was now arrived at those years when the vanity of youth ought to yield to discretion, considered the proposal as a philosopher, and after due deliberation candidly owned she had no objection to the match. Farrel was accordingly introduced in the character of a lover, after the permission of the Countess had been obtained; and he carried on his addresses in the usual form, so much to the satisfaction of all concerned in the event, that a day was appointed for the celebration of his nuptials, when he entered into peaceable possession of his prize. A few days after this joyful occasion, while Renaldo was at Vienna, where he had been indulged with leave of absence for six months, and employed in making preparations for his journey to Britain, he was one evening presented by his servant with a package from London, which he no sooner opened, than he found enclosed a letter directed to him, in the handwriting of Monimia. He was so much affected at sight of those well-known characters, that he stood motionless as a statue, eager to know the contents, yet afraid to peruse the billet.",pleasure,candidness,satisfaction,joy,affectation,0.00088
" Over these pictures he dwelt with a sort of pleasing anguish, until he became so enamoured of her tomb, that he could no longer resist the desire that compelled him to make a pilgrimage to the dear hallowed spot, where all his once gay hopes lay buried; that he might nightly visit the silent habitation of his ruined love, embrace the sacred earth with which she was now compounded, moisten it with his tears, and bid the turf lie easy on her breast. Besides the prospect of this gloomy enjoyment, he was urged to return to England, by an eager desire of taking vengeance on the perfidious Fathom, as well as of acquitting himself of the obligations he owed in that kingdom, to those who had assisted him in his distress. He therefore communicated his intention to Farrel, who would have insisted upon attending him in the journey, had not he been conjured to stay and manage Renaldo’s affairs in his absence. Every previous step being taken, he took leave of the Countess and his sister, who had, with all their interest and elocution, opposed his design, the execution of which, they justly feared, would, instead of dissipating, augment his chagrin; and now, seeing him determined, they shed a flood of tears at his departure, and he set out from Vienna in a post-chaise, accompanied by a trusty valet-de-chambre on horseback. ",anguish,longing,grief,desire,gratitude,0.00085
"Joshua, who was ignorant of the contents of that epistle, and saw the young gentleman extremely moved, would have eluded his inquiry, by pretending he had forgot the circumstance; but when he understood the nature of the case which was not explained without the manifestation of the utmost inquietude, he heartily condoled the desponding lover, telling him he had in vain employed all his intelligence about that unfortunate beauty, in consequence of Melvil’s letter to him on that subject; and then directed him to the house of the physician, who had brought the fatal billet which had made him miserable. No sooner did he receive this information than he took his leave abruptly, with promise of returning next day, and hied him to the lodgings of that gentleman, whom he was lucky enough to find at home. Being favoured with a private audience, “When I tell you,” said he, “that my name is Renaldo Count de Melvil, you will know me to be the most unfortunate of men. By that letter, which you committed to the charge of my worthy friend Joshua, the fatal veil was removed from my eyes, which had been so long darkened by the artifices of incredible deceit, and my own incurable misery fully presented to my view. If you were acquainted with the unhappy fair, who hath fallen a victim to my mistake, you will have some idea of the insufferable pangs which I now feel in recollecting her fate. If you have compassion for these pangs, you will not refuse to conduct me to the spot where the dear remains of Monimia are deposited; there let me enjoy a full banquet of woe; there let me feast that worm of sorrow that preys upon my heart.",sympathy,compassion,inquietude,misery,remorse,0.00095
" Melvil, glowing with rage, replied, that he was a venomous serpent, which it was incumbent on every foot to crush; that it was the duty of every man to contribute his whole power in freeing society from such a pernicious hypocrite; and that, if such instances of perfidy and ingratitude were suffered to pass with impunity, virtue and plain-dealing would soon be expelled from the habitations of men. “Over and above these motives,” said he, “I own myself so vitiated with the alloy of human passion and infirmity, that I desire—I eagerly pant for an occasion of meeting him hand to hand, where I may upbraid him with his treachery, and shower down vengeance and destruction on his perfidious head.”  Then he recounted the anecdotes of our adventurer which he had learned in Germany and Flanders, and concluded with declaring his unalterable resolution of releasing him from jail, that he might have an opportunity of sacrificing him, with his own hand, to the manes of Monimia. The discreet lady, perceiving the perturbation of his mind, would not further combat the impetuosity of his passion; contenting herself with exacting a promise, that he would not execute his purpose, until he should have deliberated three days upon the consequences by which a step of that kind might be attended. Before the expiration of that term, she thought measures might be taken to prevent the young gentleman from exposing his life or reputation to unnecessary hazard. ",rage,vengeance,perturbation,impetuosity,caution,0.00095
" In the midst of these ejaculations, he ravished a banquet from her glowing lips, that kindled in his heart a flame which rushed through every vein, and glided to his marrow. This was a privilege he had never claimed before, and now permitted as a recompense for all the penance he had suffered. Nevertheless, the cheeks of Monimia, who was altogether unaccustomed to such familiarities, underwent a total suffusion; and Madam Clement discreetly relieved her from the anxiety of her situation, by interfering in the discourse, and rallying the Count upon his endeavours to monopolise such a branch of happiness.  “O my dear lady!” replied Renaldo, who by this time had, in some measure, recovered his recollection, “forgive the wild transports of a fond lover, who hath so unexpectedly retrieved the jewel of his soul! Yet, far from wishing to hoard up his treasure, he means to communicate and diffuse his happiness to all his friends. O my Monimia! how will the pleasure of this hour be propagated! As yet thou knowest not all the bliss that is reserved for thy enjoyment!—Meanwhile, I long to learn by what contrivance this happy interview hath been effected. Still am I ignorant how I was transported into this apartment, from the lonely vault in which I mourned over my supposed misfortune!” ",passion,gratitude,curiosity,anticipation,joy,0.00085
"“My hope was altogether disappointed by this unhappy accident; and I shuddered at the prospect of losing Serafina for ever, either by this mysterious malady, or by her marriage with Mendoza, which I now despaired of being able to defeat. The major-domo having waited several hours for his lord’s return, without seeing him appear, thought proper to despatch a messenger to Don Manuel, with an account of what had happened; and that nobleman arriving in the morning, took possession of the house. About four o’clock in the afternoon, Serafina began to stir, and, at five, she and her mother were perfectly awake. “They no sooner recovered the use of reflection, than they gave signs of equal sorrow and amazement, and earnestly called for Isabella, who was privy to our design, and who, after a very minute inquiry, was found in a lone and solitary chamber, where she had been confined. Such was the confusion of the house, that no person ever dreamed of asking how I entered, each domestic, in all probability, supposing I had been introduced by his fellow; so that I tarried unquestioned, on pretence of concern for the distress of a family in which I had been so generously entertained, and, by Isabella, sent my respects and duty to her ladies. She was, therefore, not a little surprised, when, after every other servant had withdrawn, she heard the lovely Serafina exclaim, with all the violence of grief, ‘Ah! Isabella, Orlando is no more!’ But their astonishment was still greater, when she assured them of my being alive, and in the house. They recounted to her the adventure of last night, which she explained, by informing them of the letters which Don Diego had intercepted.",disappointment,shuddering,despair,sorrow,amazement,0.00101
